sigtime,inti,type,signals
2024-04-10 17:00:00,1,signals,0
2024-04-10 17:00:00,1,signals,0
2024-04-10 17:00:00,1,signals,0
2024-04-10 17:00:00,1,signals,0
2024-04-10 17:00:00,1,signals,0
2024-04-10 17:00:00,1,signals,0
2024-04-10 17:00:00,0,signals,30
2024-04-10 17:00:00,1,signals,0
2024-04-10 17:00:00,1,signals,0
2024-04-10 17:00:00,0,signals,30
2024-04-10 17:00:00,0,signals,30
2024-04-10 17:00:00,0,signals,30
2024-04-10 17:00:00,1,signals,0
2024-04-10 17:00:00,0,signals,30
2024-04-10 17:00:00,1,signals,0
2024-04-10 17:00:00,1,signals,0
2024-04-10 17:00:00,1,signals,0
2024-04-10 17:00:00,1,signals,0
2024-04-10 17:00:00,1,signals,0
